id,campaign_id,poster_id,poster_model_id,language_id,country_id,state_id,county_id,clinic_id,poster_af_file_id,"type","created_at","updated_at"
1,11,10,5,26,1,,,,444,"Office Int","2019-06-06 15:47:57","2019-07-26 15:57:33"
2,11,10,5,149,1,,,,445,"Office Int","2019-06-06 15:48:00","2019-07-26 15:57:33"
3,11,3,5,26,1,,,,446,"Office Int","2019-06-06 15:52:18","2019-07-26 15:57:33"
4,11,5,5,26,1,,,,447,"Office Int","2019-06-06 15:52:22","2019-07-26 15:57:33"
5,11,5,5,149,1,,,,448,"Office Int","2019-06-06 15:52:26","2019-07-26 15:57:33"
6,11,8,5,26,1,,,,449,"Office Int","2019-06-06 15:52:29","2019-07-26 15:57:33"
7,11,8,5,149,1,,,,450,"Office Int","2019-06-06 15:52:34","2019-07-26 15:57:33"
8,11,9,5,26,1,,,,451,"Office Int","2019-06-06 15:52:37","2019-07-26 15:57:33"
9,11,9,5,149,1,,,,452,"Office Int","2019-06-06 15:52:41","2019-07-26 15:57:33"
10,11,4,5,26,1,,,,453,"Office Int","2019-06-06 15:52:45","2019-07-26 15:57:33"
11,11,4,5,149,1,,,,454,"Office Int","2019-06-06 15:52:49","2019-07-26 15:57:33"
12,11,7,5,149,1,,,,455,"Office Int","2019-06-06 15:52:53","2019-07-26 15:57:33"
13,11,10,2,149,1,16,,,456,"Office","2019-06-06 15:52:58","2019-07-26 15:57:33"
14,11,10,2,149,1,14,,,457,"Office","2019-06-06 15:53:03","2019-07-26 15:57:33"
15,11,10,2,149,1,3,,,458,"Office","2019-06-06 15:53:08","2019-07-26 15:57:33"
16,11,10,2,149,1,,,,459,"Office","2019-06-06 15:53:12","2019-07-26 15:57:33"
17,11,10,2,26,1,,,,460,"Ext","2019-06-06 15:53:17","2019-07-26 15:57:33"
18,11,10,2,149,1,16,,,461,"Ext","2019-06-06 15:53:22","2019-07-26 15:57:33"
19,11,10,2,149,1,14,,,462,"Ext","2019-06-06 15:53:27","2019-07-26 15:57:33"
20,11,10,2,149,1,3,,,463,"Ext","2019-06-06 15:53:31","2019-07-26 15:57:33"
21,11,10,2,149,1,,,,464,"Ext","2019-06-06 15:53:37","2019-07-26 15:57:33"
22,11,12,2,149,1,,,,465,"Ext","2019-06-06 15:53:42","2019-07-26 15:57:33"
23,11,3,2,26,1,,,,466,"Office","2019-06-06 15:53:47","2019-07-26 15:57:33"
24,11,1,2,26,1,,,,467,"Ext","2019-06-06 15:53:51","2019-07-26 15:57:33"
25,11,1,2,149,1,16,,,468,"Ext","2019-06-06 15:53:57","2019-07-26 15:57:33"
