id,mailing_design_id,clinic_id,clinic_af_file_id,printer_id,printer_product_id,printed_qty,distributor_id,distributor_service_id,distributed_stand_qty,distributed_doordrop_qty,"deleted_at","created_at","updated_at"
1,1,77,,5,5,38242,2,2,0,38242,,"2019-10-23 13:59:49","2019-10-25 11:34:41"
2,1,178,,5,5,18895,2,2,0,18895,,"2019-10-23 13:59:49","2019-10-25 11:34:47"
3,1,204,,5,5,64700,2,2,300,64400,,"2019-10-23 13:59:49","2019-10-25 11:34:48"
4,1,205,,5,5,61420,2,2,300,61120,,"2019-10-23 13:59:49","2019-10-25 11:34:48"
5,1,207,,5,5,75500,2,2,300,75200,,"2019-10-23 13:59:49","2019-10-25 11:34:48"
6,2,69,,5,5,65000,3,21,0,65000,,"2019-10-23 13:59:51","2019-10-25 11:34:40"
7,2,137,,5,5,65000,3,21,0,65000,,"2019-10-23 13:59:51","2019-10-25 11:34:44"
8,3,18,,5,5,70108,2,10,0,70108,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
9,3,21,,5,5,47032,2,10,0,47032,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
10,3,22,,5,5,57504,2,10,0,57504,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
11,3,23,,5,5,86009,2,10,0,86009,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
12,3,24,,5,5,72174,2,10,0,72174,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
13,3,25,,5,5,66335,2,10,0,66335,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
14,3,26,,5,5,70850,2,10,0,70850,,"2019-10-23 13:59:52","2019-10-25 11:34:37"
15,3,27,,5,5,78315,2,10,0,78315,,"2019-10-23 13:59:52","2019-10-25 11:34:38"
16,3,38,,5,5,35041,2,10,0,35041,,"2019-10-23 13:59:52","2019-10-25 11:34:38"
17,3,45,,5,5,58878,2,10,0,58878,,"2019-10-23 13:59:52","2019-10-25 11:34:39"
18,3,52,,5,5,30084,2,10,0,30084,,"2019-10-23 13:59:52","2019-10-25 11:34:39"
19,3,64,,5,5,61400,2,10,0,61400,,"2019-10-23 13:59:52","2019-10-25 11:34:40"
20,3,73,,5,5,44544,2,10,0,44544,,"2019-10-23 13:59:52","2019-10-25 11:34:40"
21,3,84,,5,5,38602,2,10,0,38602,,"2019-10-23 13:59:52","2019-10-25 13:48:19"
