id,clinic_id,address_id,campaign_id,original_facade_file_id,composed_facade_file_id,complete_facade_file_id,"starts_at","ends_at","distributions","created_at","updated_at"
1,1,1,,1,1865,,"2018-11-14",,"{""scale"": 1.8083333333333331, ""width"": 1085, ""height"": 282, ""holders"": [{""ext"": 5, ""int"": 6, ""top"": 212.8436748497138, ""left"": 125.31411139988654, ""name"": ""S-1"", ""size"": ""692x991"", ""lastX"": 788, ""lastY"": 452, ""right"": false, ""width"": 37.541, ""bottom"": false, ""height"": 53.76174999999999, ""showing"": ""ext"", ""originalWidth"": 34.6, ""originalHeight"": 49.55, ""topInPercentage"": 75.47648044316092, ""leftInPercentage"": 11.549687686625488}, {""ext"": 1, ""int"": 2, ""top"": 212.8436748497138, ""left"": 204.5165137679034, ""name"": ""S-2"", ""size"": ""692x991"", ""lastX"": 864, ""lastY"": 447, ""right"": false, ""width"": 37.541, ""bottom"": false, ""height"": 53.76174999999999, ""showing"": ""ext"", ""originalWidth"": 34.6, ""originalHeight"": 49.55, ""topInPercentage"": 75.47648044316092, ""leftInPercentage"": 18.849448273539487}, {""ext"": 9, ""int"": 10, ""top"": 212.8436748497138, ""left"": 392.4689981840852, ""name"": ""S-3"", ""size"": ""1195x993"", ""lastX"": 1067, ""lastY"": 441, ""right"": false, ""width"": 64.82875, ""bottom"": false, ""height"": 53.87025, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 75.47648044316092, ""leftInPercentage"": 36.17225789715071}, {""ext"": 3, ""int"": 4, ""top"": 212.8436748497138, ""left"": 589.3864887880168, ""name"": ""S-4"", ""size"": ""692x991"", ""lastX"": 1245, ""lastY"": 443, ""right"": false, ""width"": 37.541, ""bottom"": false, ""height"": 53.76174999999999, ""showing"": ""ext"", ""originalWidth"": 34.6, ""originalHeight"": 49.55, ""topInPercentage"": 75.47648044316092, ""leftInPercentage"": 54.32133537216745}, {""ext"": 7, ""int"": 8, ""top"": 212.8436748497138, ""left"": 762.5934120434176, ""name"": ""S-5"", ""size"": ""692x991"", ""lastX"": 1419, ""lastY"": 442, ""right"": false, ""width"": 37.541, ""bottom"": false, ""height"": 53.76174999999999, ""showing"": ""ext"", ""originalWidth"": 34.6, ""originalHeight"": 49.55, ""topInPercentage"": 75.47648044316092, ""leftInPercentage"": 70.28510710077582}], ""posterIds"": [5, 6, 1, 2, 9, 10, 3, 4, 7, 8], ""postersScale"": 0.6}","2019-06-27 15:18:49","2019-08-27 14:02:49"
2,3,454,,2,1868,,"2016-05-23",,"{""scale"": 1.785, ""width"": 1071, ""height"": 714, ""holders"": [{""ext"": 15, ""int"": 16, ""top"": 449, ""left"": 154, ""name"": ""S-1"", ""size"": ""70x100"", ""lastX"": 854, ""lastY"": 568, ""right"": false, ""width"": 87.46499999999999, ""bottom"": false, ""height"": 124.95, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 62.88515406162465, ""leftInPercentage"": 14.379084967320262}, {""ext"": 19, ""int"": 11, ""top"": 449, ""left"": 481, ""name"": ""S-2"", ""size"": ""70x100"", ""lastX"": 1190, ""lastY"": 601, ""right"": false, ""width"": 87.46499999999999, ""bottom"": false, ""height"": 124.95, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 62.88515406162465, ""leftInPercentage"": 44.91129785247432}, {""ext"": 21, ""int"": 12, ""top"": 449, ""left"": 804, ""name"": ""S-3"", ""size"": ""70x100"", ""lastX"": 1504, ""lastY"": 613, ""right"": false, ""width"": 87.46499999999999, ""bottom"": false, ""height"": 124.95, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 62.88515406162465, ""leftInPercentage"": 75.07002801120449}], ""posterIds"": [15, 16, 19, 11, 21, 12], ""postersScale"": 1.4}","2019-06-27 15:52:46","2019-08-27 14:02:59"
3,3,5,,3,1869,,"2016-05-23",,"{""scale"": 1.785, ""width"": 1071, ""height"": 448, ""holders"": [{""ext"": 22, ""int"": 13, ""top"": 276, ""left"": 46, ""name"": ""S-1"", ""size"": ""70x100"", ""lastX"": 730, ""lastY"": 597, ""right"": false, ""width"": 62.474999999999994, ""bottom"": false, ""height"": 89.25, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 61.607142857142854, ""leftInPercentage"": 4.295051353874883}, {""ext"": 20, ""int"": 14, ""top"": 276, ""left"": 197.99999999999997, ""name"": ""S-2"", ""size"": ""70x100"", ""lastX"": 870, ""lastY"": 581, ""right"": false, ""width"": 62.474999999999994, ""bottom"": false, ""height"": 89.25, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 61.607142857142854, ""leftInPercentage"": 18.48739495798319}, {""ext"": 17, ""int"": 18, ""top"": 276, ""left"": 363, ""name"": ""S-3"", ""size"": ""70x100"", ""lastX"": 1042, ""lastY"": 601, ""right"": false, ""width"": 62.474999999999994, ""bottom"": false, ""height"": 89.25, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 61.607142857142854, ""leftInPercentage"": 33.89355742296919}], ""posterIds"": [22, 13, 20, 14, 17, 18], ""postersScale"": 1}","2019-06-27 15:52:47","2019-08-27 14:03:02"
4,5,455,,4,1870,,"2015-05-01","2019-08-31","{""scale"": 1.785, ""width"": 1071, ""height"": 414, ""holders"": [{""ext"": 30, ""int"": 28, ""top"": 181, ""left"": 289, ""name"": ""S-1"", ""size"": ""70x100"", ""lastX"": 993, ""lastY"": 461, ""right"": false, ""width"": 81.2175, ""bottom"": false, ""height"": 116.025, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 43.71980676328502, ""leftInPercentage"": 26.984126984126984}, {""ext"": 29, ""int"": 27, ""top"": 181, ""left"": 433, ""name"": ""S-2"", ""size"": ""70x100"", ""lastX"": 1128, ""lastY"": 474, ""right"": false, ""width"": 81.2175, ""bottom"": false, ""height"": 116.025, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 43.71980676328502, ""leftInPercentage"": 40.42950513538749}, {""ext"": 31, ""int"": 32, ""top"": 181, ""left"": 574, ""name"": ""S-3"", ""size"": ""70x100"", ""lastX"": 1277, ""lastY"": 455, ""right"": false, ""width"": 81.2175, ""bottom"": false, ""height"": 116.025, ""showing"": ""ext"", ""originalWidth"": 35, ""originalHeight"": 50, ""topInPercentage"": 43.71980676328502, ""leftInPercentage"": 53.59477124183007}], ""posterIds"": [30, 28, 29, 27, 32, 31], ""postersScale"": 1.3}","2019-06-27 15:53:52","2019-11-06 11:15:22"
5,5,9,,5,1871,,"2015-05-01","2019-08-31","{""scale"": 1.785, ""width"": 1071, ""height"": 381, ""holders"": [{""ext"": 23, ""int"": 24, ""top"": 172, ""left"": 179, ""name"": ""S-1"", ""size"": ""120x100"", ""lastX"": 924, ""lastY"": 618, ""right"": false, ""width"": 149.93999999999997, ""bottom"": false, ""height"": 124.95, ""showing"": ""ext"", ""originalWidth"": 60, ""originalHeight"": 50, ""topInPercentage"": 45.14435695538058, ""leftInPercentage"": 16.713352007469656}, {""ext"": 25, ""int"": 26, ""top"": 172, ""left"": 546, ""name"": ""S-2"", ""size"": ""120x100"", ""lastX"": 1288, ""lastY"": 669, ""right"": false, ""width"": 149.93999999999997, ""bottom"": false, ""height"": 124.95, ""showing"": ""ext"", ""originalWidth"": 60, ""originalHeight"": 50, ""topInPercentage"": 45.14435695538058, ""leftInPercentage"": 50.98039215686274}], ""posterIds"": [24, 23, 25, 26], ""postersScale"": 1.4}","2019-06-27 15:53:52","2019-11-06 11:15:20"
6,8,456,,6,1878,,"2017-06-05",,"{""scale"": 1.785, ""width"": 1071, ""height"": 272, ""holders"": [{""ext"": 53, ""int"": 54, ""top"": 146, ""left"": 906, ""name"": ""S-1"", ""size"": ""1195x993"", ""lastX"": 1605, ""lastY"": 374, ""right"": false, ""width"": 85.32300000000001, ""bottom"": false, ""height"": 70.9002, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 53.6764705882353, ""leftInPercentage"": 84.593837535014}], ""posterIds"": [53, 54], ""postersScale"": 0.8}","2019-06-27 15:54:51","2019-08-27 14:03:30"
7,8,15,,7,1879,,"2017-06-05",,"{""scale"": 1.785, ""width"": 1071, ""height"": 423, ""holders"": [{""ext"": 55, ""int"": 56, ""top"": 209, ""left"": 688, ""name"": ""S-1"", ""size"": ""1195x993"", ""lastX"": 1401, ""lastY"": 566, ""right"": false, ""width"": 106.65375, ""bottom"": false, ""height"": 88.62525, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 49.40898345153664, ""leftInPercentage"": 64.2390289449113}, {""ext"": 57, ""int"": 58, ""top"": 209, ""left"": 891, ""name"": ""S-2"", ""size"": ""1195x993"", ""lastX"": 1535, ""lastY"": 600, ""right"": false, ""width"": 106.65375, ""bottom"": false, ""height"": 88.62525, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 49.40898345153664, ""leftInPercentage"": 83.19327731092437}], ""posterIds"": [55, 56, 58, 57], ""postersScale"": 1}","2019-06-27 15:54:52","2019-08-27 14:03:32"
8,12,22,,8,1884,,"2019-08-01",,"{""scale"": 1.8083333333333331, ""width"": 1085, ""height"": 446, ""holders"": [{""ext"": 83, ""int"": 84, ""top"": 230, ""left"": 94, ""name"": ""S-1"", ""size"": ""1195x993"", ""lastX"": 791, ""lastY"": 473, ""right"": false, ""width"": 75.63354166666666, ""bottom"": false, ""height"": 62.84862499999999, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 51.5695067264574, ""leftInPercentage"": 8.663594470046084}, {""ext"": 81, ""int"": 82, ""top"": 230, ""left"": 219, ""name"": ""S-2"", ""size"": ""1195x993"", ""lastX"": 907, ""lastY"": 470, ""right"": false, ""width"": 75.63354166666666, ""bottom"": false, ""height"": 62.84862499999999, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 51.5695067264574, ""leftInPercentage"": 20.18433179723502}], ""posterIds"": [83, 84, 82, 81], ""postersScale"": 0.7}","2019-06-27 15:55:23","2019-08-27 14:03:47"
9,13,457,,9,1888,,"2018-12-19",,"{""scale"": 1.785, ""width"": 1071, ""height"": 423, ""holders"": [{""ext"": 87, ""int"": 88, ""top"": 201.63374340850703, ""left"": 542.8322214995865, ""name"": ""S-1"", ""size"": ""1195x993"", ""lastX"": 1251, ""lastY"": 390, ""right"": false, ""width"": 106.65375, ""bottom"": false, ""height"": 88.62525, ""showing"": ""int"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 47.6675516332168, ""leftInPercentage"": 50.684614519102375}, {""ext"": 89, ""int"": 90, ""top"": 200.63374340850703, ""left"": 799.9196108801175, ""name"": ""S-2"", ""size"": ""1195x993"", ""lastX"": 0, ""lastY"": 0, ""right"": false, ""width"": 106.65375, ""bottom"": false, ""height"": 88.62525, ""showing"": ""int"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 47.43114501383145, ""leftInPercentage"": 74.68903929786345}], ""posterIds"": [87, 88, 89, 90], ""postersScale"": 1}","2019-06-27 16:04:03","2019-08-27 14:03:55"
10,13,24,,10,1889,,"2018-12-19",,"{""scale"": 1.785, ""width"": 1071, ""height"": 603, ""holders"": [{""ext"": 85, ""int"": 86, ""top"": 276.32586643759123, ""left"": 118.7337482460832, ""name"": ""S-1"", ""size"": ""1195x993"", ""lastX"": 876, ""lastY"": 458, ""right"": false, ""width"": 138.649875, ""bottom"": false, ""height"": 115.212825, ""showing"": ""ext"", ""originalWidth"": 59.75, ""originalHeight"": 49.65, ""topInPercentage"": 45.825185147195896, ""leftInPercentage"": 11.086251003369112}], ""posterIds"": [85, 86], ""postersScale"": 1.3}","2019-06-27 16:04:04","2019-08-27 14:03:57"
