id,campaign_id,clinic_poster_id,priority,"starts_at","ends_at","created_at","updated_at"
1,NULL,1,1,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
2,NULL,906,1,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
3,NULL,907,1,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
4,NULL,908,1,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
5,NULL,2,2,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
6,NULL,909,2,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
7,NULL,3,4,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:06"
8,NULL,910,4,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:07"
9,NULL,4,3,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:07"
10,NULL,911,3,"2018-11-14","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:07"
11,NULL,5,5,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
12,NULL,912,5,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
13,NULL,913,5,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
14,NULL,914,5,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:12"
15,NULL,6,1,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
16,NULL,915,1,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
17,NULL,916,1,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:12"
18,NULL,917,1,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:12"
19,NULL,7,2,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
20,NULL,918,2,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:12"
21,NULL,8,4,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:11"
22,NULL,9,3,"2016-05-23","2019-12-31","2019-06-11 14:09:39","2019-11-26 13:10:12"
23,NULL,10,1,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
24,NULL,919,1,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
25,NULL,11,2,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
26,NULL,920,2,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
27,NULL,12,5,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:00"
28,NULL,921,5,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
29,NULL,13,1,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
30,NULL,14,4,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
31,NULL,15,3,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
32,NULL,922,3,"2015-05-01","2019-08-31","2019-06-11 14:09:39","2019-08-26 13:19:01"
35,NULL,924,1,"2012-08-01","2019-11-17","2019-06-11 14:09:39","2019-10-31 13:46:23"
