id,clinic_id,poster_id,"type","starts_at","ends_at","created_at","updated_at"
1,1,9,"Ext","2018-11-14",NULL,"2016-12-18 14:09:39","2019-07-01 11:36:49"
2,1,9,"Ext","2018-11-14",NULL,"2016-12-19 14:09:39","2019-07-01 11:36:48"
3,1,9,"Ext","2018-11-14",NULL,"2016-12-20 14:09:39","2019-07-01 11:36:52"
4,1,4,"Ext","2018-11-14",NULL,"2016-12-21 14:09:39","2019-07-01 11:36:51"
5,3,10,"Office Int","2016-05-23",NULL,"2016-12-22 14:09:39","2019-06-25 11:55:46"
6,3,10,"Ext","2016-05-23",NULL,"2016-12-23 14:09:39","2019-06-25 11:55:46"
7,3,10,"Office","2016-05-23",NULL,"2016-12-24 14:09:39","2019-06-25 11:55:46"
8,3,10,"Office","2016-05-23",NULL,"2016-12-25 14:09:39","2019-06-25 11:55:46"
9,3,10,"Office","2016-05-23",NULL,"2016-12-26 14:09:39","2019-06-25 11:55:46"
10,5,5,"Ext","2015-05-01",NULL,"2016-12-27 14:09:39","2019-06-25 11:55:46"
11,5,5,"Ext","2015-05-01",NULL,"2016-12-28 14:09:39","2019-06-25 11:55:46"
12,5,10,"Office Int","2015-05-01",NULL,"2016-12-29 14:09:39","2019-06-25 11:55:46"
13,5,10,"Office","2015-05-01",NULL,"2016-12-30 14:09:39","2019-06-25 11:55:46"
14,5,10,"Office","2015-05-01",NULL,"2016-12-31 14:09:39","2019-06-25 11:55:46"
15,5,10,"Ext","2015-05-01",NULL,"2017-01-01 14:09:39","2019-06-25 11:55:46"
17,6,8,"Ext","2012-08-01",NULL,"2017-01-03 14:09:39","2019-06-25 11:55:46"
18,6,8,"Ext","2012-08-01","2019-11-17","2017-01-04 14:09:39","2019-10-31 12:40:10"
19,6,8,"Ext","2012-08-01",NULL,"2017-01-05 14:09:39","2019-06-25 11:55:46"
20,7,5,"Office Int","2016-06-27",NULL,"2017-01-06 14:09:39","2019-06-25 11:55:46"
21,7,5,"Ext","2016-06-27",NULL,"2017-01-07 14:09:39","2019-06-25 11:55:46"
22,7,5,"Office","2016-06-27",NULL,"2017-01-08 14:09:39","2019-06-25 11:55:46"
23,7,5,"Office","2016-06-27",NULL,"2017-01-09 14:09:39","2019-06-25 11:55:46"
24,7,5,"Office","2016-06-27",NULL,"2017-01-10 14:09:39","2019-06-25 11:55:46"
25,7,5,"Office","2016-06-27",NULL,"2017-01-11 14:09:39","2019-06-25 11:55:46"
26,8,4,"Ext","2017-06-05",NULL,"2017-01-12 14:09:39","2019-06-25 11:55:46"
27,8,4,"Ext","2017-06-05",NULL,"2017-01-13 14:09:39","2019-06-25 11:55:46"
28,8,4,"Ext","2017-06-05",NULL,"2017-01-14 14:09:39","2019-06-25 11:55:46"
29,9,5,"Office Int","2011-12-01",NULL,"2017-01-15 14:09:39","2019-06-25 11:55:46"
31,9,6,"Ext","2011-12-01","2019-12-31","2017-01-17 14:09:39","2019-11-28 13:36:42"
32,9,6,"Ext","2011-12-01","2019-12-31","2017-01-18 14:09:39","2019-11-28 13:36:43"
