id,clinic_id,profile_id,created_at,updated_at
3309,204,3359,2019-01-25 11:56:43,2019-01-25 11:56:43
3308,204,3358,2019-01-26 11:56:43,2019-01-26 11:56:43
3307,204,3357,2019-01-27 11:56:43,2019-01-27 11:56:43
3306,204,3356,2019-01-28 11:56:43,2019-01-28 11:56:43
3305,204,3355,2019-01-29 11:56:43,2019-01-29 11:56:43
3304,204,3354,2019-01-30 11:56:43,2019-01-30 11:56:43
3303,204,3353,2019-01-31 11:56:43,2019-01-31 11:56:43
3302,204,3352,2019-02-01 11:56:43,2019-02-01 11:56:43
3301,204,3351,2019-02-02 11:56:43,2019-02-02 11:56:43
2950,204,3349,2019-02-03 11:56:43,2019-02-03 11:56:43
2949,204,3348,2019-02-04 11:56:43,2019-02-04 11:56:43
2948,204,3347,2019-02-05 11:56:43,2019-02-05 11:56:43
2947,204,3346,2019-02-06 11:56:43,2019-02-06 11:56:43
2946,206,3345,2019-02-07 11:56:43,2019-02-07 11:56:43
2945,206,3344,2019-02-08 11:56:43,2019-02-08 11:56:43
2944,206,3343,2019-02-09 11:56:43,2019-02-09 11:56:43
2943,206,3342,2019-02-10 11:56:43,2019-02-10 11:56:43
2942,206,3341,2019-02-11 11:56:43,2019-02-11 11:56:43
2941,206,3340,2019-02-12 11:56:43,2019-02-12 11:56:43
2940,206,3339,2019-02-13 11:56:43,2019-02-13 11:56:43
2939,206,3338,2019-02-14 11:56:43,2019-02-14 11:56:43
2938,206,3337,2019-02-15 11:56:43,2019-02-15 11:56:43
2937,206,3336,2019-02-16 11:56:43,2019-02-16 11:56:43
2936,206,3335,2019-02-17 11:56:43,2019-02-17 11:56:43
2935,206,3334,2019-02-18 11:56:43,2019-02-18 11:56:43
2934,206,3333,2019-02-19 11:56:43,2019-02-19 11:56:43
2933,206,3332,2019-02-20 11:56:43,2019-02-20 11:56:43
2932,206,3331,2019-02-21 11:56:43,2019-02-21 11:56:43
2931,206,3330,2019-02-22 11:56:43,2019-02-22 11:56:43
2930,206,3329,2019-02-23 11:56:43,2019-02-23 11:56:43
2929,206,3328,2019-02-24 11:56:43,2019-02-24 11:56:43
2928,205,3327,2019-02-25 11:56:43,2019-02-25 11:56:43
2927,205,3326,2019-02-26 11:56:43,2019-02-26 11:56:43
2926,205,3325,2019-02-27 11:56:43,2019-02-27 11:56:43
