id,clinic_id,sibling_id,"starts_at","ends_at","type","deleted_at","created_at","updated_at"
1,97,98,"2017-01-01",,"Mailing",,"2019-10-15 18:07:04","2019-10-15 18:07:04"
2,6,7,"2017-01-01",,"Mailing",,"2019-10-15 18:14:14","2019-10-15 18:14:14"
3,84,85,"2017-01-01",,"Mailing",,"2019-10-15 18:14:47","2019-10-15 18:14:47"
5,121,122,"2017-01-01",,"Mailing",,"2019-10-15 18:17:05","2019-10-15 18:17:05"
6,141,142,"2017-01-01",,"Mailing",,"2019-10-15 18:17:29","2019-10-15 18:17:29"
7,148,149,"2017-01-01",,"Mailing",,"2019-10-15 18:17:52","2019-10-15 18:17:52"
8,197,196,"2017-01-01","2019-10-31","Mailing",,"2019-10-15 18:18:25","2019-10-31 10:57:27"
9,89,87,"2017-01-01",,"Mailing",,"2019-10-15 18:19:13","2019-10-15 18:19:13"
10,89,88,"2017-01-01",,"Mailing",,"2019-10-15 18:19:27","2019-10-15 18:19:27"
11,87,88,"2017-01-01",,"Mailing",,"2019-10-15 18:19:53","2019-10-15 18:19:53"
12,87,89,"2017-01-01",,"Mailing",,"2019-10-15 18:20:02","2019-10-15 18:20:02"
13,88,87,"2017-01-01",,"Mailing",,"2019-10-15 18:20:19","2019-10-15 18:20:19"
14,88,89,"2017-01-01",,"Mailing",,"2019-10-15 18:20:28","2019-10-15 18:20:28"
15,113,112,"2016-01-01",,"Mailing",,"2019-10-25 13:59:58","2019-10-25 13:59:58"
