id,clinic_id,stationary_id,"file","link","thumbnail","created_at","updated_at"
1,1,1,"Hoja A4 A Coruna (Rua Juana dje Vega, 23).pdf","stationary/España/clinics/A Coruna (Rua Juana dje Vega, 23)/Hoja A4 A Coruna (Rua Juana dje Vega, 23).pdf","/storage/Hoja A4 A Coruna (Rua Juana dje Vega, 23).jpg","2018-08-29 11:55:49","2018-08-30 11:55:49"
2,1,2,"Recetario A Coruna (Rua Juana dje Vega, 23).pdf","stationary/España/clinics/A Coruna (Rua Juana dje Vega, 23)/Recetario A Coruna (Rua Juana dje Vega, 23).pdf","/storage/Recetario A Coruna (Rua Juana dje Vega, 23).jpg","2018-08-30 11:55:49","2018-08-31 11:55:49"
3,1,3,"Sobre Americano 225x115 A Coruna (Rua Juana dje Vega, 23).pdf","stationary/España/clinics/A Coruna (Rua Juana dje Vega, 23)/Sobre Americano 225x115 A Coruna (Rua Juana dje Vega, 23).pdf","/storage/Sobre Americano 225x115 A Coruna (Rua Juana dje Vega, 23).jpg","2018-08-31 11:55:49","2018-09-01 11:55:49"
4,1,4,"Sobre Bolsa 324x229 A Coruna (Rua Juana dje Vega, 23).pdf","stationary/España/clinics/A Coruna (Rua Juana dje Vega, 23)/Sobre Bolsa 324x229 A Coruna (Rua Juana dje Vega, 23).pdf","/storage/Sobre Bolsa 324x229 A Coruna (Rua Juana dje Vega, 23).jpg","2018-09-01 11:55:49","2018-09-02 11:55:49"
5,2,1,"Hoja A4 Albacete (Concepcion, 11).pdf","stationary/España/clinics/Albacete (Concepcion, 11)/Hoja A4 Albacete (Concepcion, 11).pdf","/storage/Hoja A4 Albacete (Concepcion, 11).jpg","2018-09-02 11:55:49","2018-09-03 11:55:49"
6,2,2,"Recetario Albacete (Concepcion, 11).pdf","stationary/España/clinics/Albacete (Concepcion, 11)/Recetario Albacete (Concepcion, 11).pdf","/storage/Recetario Albacete (Concepcion, 11).jpg","2018-09-03 11:55:49","2018-09-04 11:55:49"
7,2,3,"Sobre Americano 225x115 Albacete (Concepcion, 11).pdf","stationary/España/clinics/Albacete (Concepcion, 11)/Sobre Americano 225x115 Albacete (Concepcion, 11).pdf","/storage/Sobre Americano 225x115 Albacete (Concepcion, 11).jpg","2018-09-04 11:55:49","2018-09-05 11:55:49"
8,2,4,"Sobre Bolsa 324x229 Albacete (Concepcion, 11).pdf","stationary/España/clinics/Albacete (Concepcion, 11)/Sobre Bolsa 324x229 Albacete (Concepcion, 11).pdf","/storage/Sobre Bolsa 324x229 Albacete (Concepcion, 11).jpg","2018-09-05 11:55:49","2018-09-06 11:55:49"
9,3,1,"Hoja A4 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","stationary/España/clinics/Alcala dje Henares (Pl. dje Atilano Casadjo, 3)/Hoja A4 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","/storage/Hoja A4 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).jpg","2018-09-06 11:55:49","2018-09-07 11:55:49"
10,3,2,"Recetario Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","stationary/España/clinics/Alcala dje Henares (Pl. dje Atilano Casadjo, 3)/Recetario Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","/storage/Recetario Alcala dje Henares (Pl. dje Atilano Casadjo, 3).jpg","2018-09-07 11:55:49","2018-09-08 11:55:49"
11,3,3,"Sobre Americano 225x115 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","stationary/España/clinics/Alcala dje Henares (Pl. dje Atilano Casadjo, 3)/Sobre Americano 225x115 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","/storage/Sobre Americano 225x115 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).jpg","2018-09-08 11:55:49","2018-09-09 11:55:49"
