id,"city","district","nickname","postal_code","email_ext",cost_center_id,parent_id,county_id,language_id,"sanitary_code",clinic_manager_id,area_manager_id,clinic_cloud_id,"oracle_id",closed,"starts_at","ends_at","created_at","updated_at","deleted_at"
1,"A Coruña",NULL,"A Coruna (Juana de Vega, 23)","15004","coruna",1,NULL,15,149,"C-15-003280.",2269,1522,47,"47 A Coruña",0,"2014-05-05",NULL,"2017-12-31 00:00:00","2019-12-31 10:50:49",NULL
2,"Albacete",NULL,"Albacete (Concepcion, 11)","2006","albacete",2,NULL,2,149,"0207459/0211461.",2122,947,233,"233 Albacete - Concepcion",0,"2016-07-01",NULL,"2017-12-31 00:00:00","2019-10-10 10:29:22",NULL
3,"Alcalá de Henares",NULL,"Alcala de Henares (de Atilano Casado, 3)","28801","alcalahenares",6,NULL,28,149,"CS13911.",NULL,NULL,13,"13 Alcalá de Henares",0,"2016-05-23",NULL,"2017-12-31 00:00:00","2019-10-17 10:37:22",NULL
4,"Alcalá de Henares",NULL,"Alcala de Henares (Tinte, 13)","28801","alcalahenares",6,NULL,28,149,"CS11741.",NULL,NULL,13,"13 Alcalá de Henares",1,"2012-08-01","2018-01-01","2017-12-31 00:00:00","2019-12-31 10:52:35","2019-07-26 12:02:22"
5,"Alcantarilla",NULL,"Alcantarilla (Mayor, 127 A)","30820","alcantarilla",7,NULL,30,149,"40001700.",NULL,NULL,173,"173 Alcantarilla",0,"2015-05-01",NULL,"2017-12-31 00:00:00","2019-10-17 09:57:37",NULL
6,"Alcobendas",NULL,"Alcobendas (Constitucion, 37)","28100","alcobendas",8,NULL,28,149,"CS11703.",NULL,NULL,20,"20 Alcobendas",0,"2012-08-01",NULL,"2017-12-31 00:00:00","2019-10-17 10:38:01",NULL
7,"Alcobendas",NULL,"Alcobendas (Constitución, 69)","28100","alcobendas",8,NULL,28,149,"CS14256.",NULL,NULL,20,"20 Alcobendas",0,"2016-06-27",NULL,"2017-12-31 00:00:00","2019-10-17 10:38:09",NULL
8,"Alcoi",NULL,"Alcoi (Alameda, 13)","3803","alcoy",10,NULL,3,149,"19117.",NULL,NULL,272,"272 Alcoy",0,"2017-06-05",NULL,"2017-12-31 00:00:00","2019-07-11 17:08:30",NULL
9,"Alcorcón",NULL,"Alcorcon (Mayor, 10)","28921","alcorcon",9,NULL,28,149,"CS11769.",NULL,NULL,49,"49 Alcorcon",0,"2011-12-01",NULL,"2017-12-31 00:00:00","2019-10-17 10:38:19",NULL
11,"Algeciras",NULL,"Algeciras (Regino Martinez, 2)","11201","algeciras",11,NULL,11,149,"46190.",NULL,NULL,196,"196 Algeciras",0,"2015-12-16",NULL,"2017-12-31 00:00:00","2019-06-21 09:15:35",NULL
12,"Alicante",NULL,"Alicante (Maisonnave, 27)","3003","alicante",12,NULL,3,149,"12382.",NULL,NULL,3,"3 Alicante",0,"2014-01-23",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
13,"Almería",NULL,"Almeria (de Almeria, 41)","4001","almeria",13,NULL,4,149,"42241.",NULL,NULL,129,"129 Almería",0,"2014-08-27",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
14,"Andújar",NULL,"Andujar (Ollerias, 23)","23740","andujar",14,NULL,23,149,"49426.",NULL,NULL,281,"281 Andújar",0,"2017-09-12",NULL,"2017-12-31 00:00:00","2019-10-10 10:33:51",NULL
15,"Antequera",NULL,"Antequera (Duranes, 23)","29200","antequera",15,NULL,29,149,"43897.",NULL,NULL,160,"160 Antequera - Malaga",0,"2014-11-24",NULL,"2017-12-31 00:00:00","2019-06-21 09:17:17",NULL
16,"Aranjuez",NULL,"Aranjuez (de San Antonio, 59)","28300","aranjuez",16,NULL,28,149,"CS13948.",NULL,NULL,215,"215 Aranjuez",0,"2016-05-31",NULL,"2017-12-31 00:00:00","2019-06-21 09:17:50",NULL
17,"Badajoz",NULL,"Badajoz (Manuel Saavedra Palmeiro, 12)","6004","badajoz",17,NULL,6,149,"06101210.",NULL,NULL,127,"127 Badajoz",0,"2014-07-15",NULL,"2017-12-31 00:00:00","2019-06-21 09:18:07",NULL
18,"Badalona",NULL,"Badalona (del Mar, 67)","8911","badalona",18,NULL,8,26,"E08607469.",NULL,NULL,24,"24 Badalona",0,"2013-09-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:31:03",NULL
19,"Badalona",NULL,"Badalona (del Mar, 73)","8911","badalona",18,NULL,8,26,"E08581490.",NULL,NULL,24,"24 Badalona",1,"2015-01-01","2017-07-20","2017-12-31 00:00:00","2019-07-18 17:36:55","2018-01-01 00:00:00"
20,"Barcelona",NULL,"Barcelona (Balmes, 284)","8006","balmes",26,NULL,8,26,"E08603418.",NULL,NULL,159,NULL,0,"2014-11-01","2019-06-01","2017-12-31 00:00:00","2019-07-25 15:42:54","2019-07-25 15:42:54"
21,"Barcelona",NULL,"Barcelona (del Llobregos, 161)","8032","llobregos",102,NULL,8,26,"E08617918.",NULL,NULL,236,"236 Barcelona - Llobregos",0,"2016-01-04",NULL,"2017-12-31 00:00:00","2019-06-21 10:32:32",NULL
22,"Barcelona",NULL,"Barcelona (Gran de Gracia, 135)","8012","grandegracia",21,NULL,8,26,"E08584878.",NULL,NULL,7,"7 Barcelona Gran de Gracia",1,"2014-03-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:32:13",NULL
23,"Barcelona",NULL,"Barcelona (Fabra i Puig, 129)","8016","fabra",62,NULL,8,26,"E08618260.",NULL,NULL,218,"218 Barcelona Fabra",0,"2015-12-28",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
24,"Barcelona",NULL,"Barcelona (del Poblenou, 104)","8005","poblenou",22,NULL,8,26,"E08603400.",NULL,NULL,158,"158 Poblenou-Barcelona",0,"2014-11-28",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
25,"Barcelona",NULL,"Barcelona (Rda. Sant Antoni, 17)","8011","santantoni",25,NULL,8,26,"E08612719.",NULL,NULL,206,"206 Barcelona Sant Antoni",0,"2015-06-19",NULL,"2017-12-31 00:00:00","2019-06-21 10:34:34",NULL
26,"Barcelona",NULL,"Barcelona (Rossello, 416)","8025","rosello",23,NULL,8,26,"E08590247.",NULL,NULL,134,"134 Barcelona Sagrada Familia",0,"2014-07-30",NULL,"2017-12-31 00:00:00","2019-06-21 10:33:30",NULL
27,"Barcelona",NULL,"Barcelona (Sants, 8)","8014","sants",20,NULL,8,26,"E08567135.",NULL,NULL,119,"119 Barcelona Sants",0,"2014-06-10",NULL,"2017-12-31 00:00:00","2019-06-21 10:34:51",NULL
28,"Basauri",NULL,"Basauri (Begonako Andra Mari Kalea, 16)","48970","basauri",24,NULL,48,149,"48 C.2.5.1. 10886.",NULL,NULL,197,"197 Basauri",0,"2015-05-28",NULL,"2017-12-31 00:00:00","2019-10-17 09:58:51",NULL
29,"Benavente",NULL,"Benavente (de los Herreros, 16)","49600","benavente",27,NULL,49,149,"49-C251-0101",NULL,NULL,170,"170 Benavente",0,"2015-05-06",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
30,"Bermeo",NULL,"Bermeo (Lamera Ibilbidea 1)","48370","bermeo",28,NULL,48,149,"48 C.2.5.1. 11302",NULL,NULL,261,"261 Bermeo",0,"2016-09-19",NULL,"2017-12-31 00:00:00","2019-10-17 09:59:10",NULL
31,"Bilbao","Santutxu","Bilbao (Aita Esteban Pernet, 2)","48004","santutxu",176,NULL,48,149,"48 C.2.5.1. 11181.",NULL,NULL,216,"216 Santutxu - Bilbao",0,"2016-03-29",NULL,"2017-12-31 00:00:00","2019-10-17 10:16:48",NULL
32,"Bilbao",NULL,"Bilbao (Gran Via de Don Diego Lopez de Haro, 37)","48009","bilbao",29,NULL,48,149,"48 C.2.5.1. 10995.",NULL,NULL,135,"135 Bilbao",0,"2015-08-12",NULL,"2017-12-31 00:00:00","2019-10-17 09:59:30",NULL
