id,name,created_at,updated_at
1,A Coruña,2017-12-31,2017-12-31
2,Albacete - Concepcion,2017-12-31,2017-12-31
3,Albufera,2017-12-31,2017-12-31
4,Alcala 385,2017-12-31,2017-12-31
5,Alcalá 386,2017-12-31,2017-12-31
6,Alcala De Henares,2017-12-31,2017-12-31
7,Alcantarilla,2017-12-31,2017-12-31
8,Alcobendas,2017-12-31,2017-12-31
9,Alcobendas 2,2017-12-31,2017-12-31
10,Alcorcon,2017-12-31,2017-12-31
11,Alcoy,2017-12-31,2017-12-31
12,Algeciras,2017-12-31,2017-12-31
13,Alicante,2017-12-31,2017-12-31
14,Almería,2017-12-31,2017-12-31
15,Andújar,2017-12-31,2017-12-31
16,Antequera,2017-12-31,2017-12-31
17,Aranjuez,2017-12-31,2017-12-31
18,Badajoz,2017-12-31,2017-12-31
19,Badalona 1,2017-12-31,2017-12-31
20,Balmes,2017-12-31,2017-12-31
21,Barajas,2017-12-31,2017-12-31
22,Basauri,2017-12-31,2017-12-31
23,Bermeo,2017-12-31,2017-12-31
24,Bilbao,2017-12-31,2017-12-31
25,Boadilla Del M.,2017-12-31,2017-12-31
26,Bravo Murillo,2017-12-31,2017-12-31
27,Burgos,2017-12-31,2017-12-31
28,Cádiz,2017-12-31,2017-12-31
29,Cambrils,2017-12-31,2017-12-31
30,Carabanchel,2017-12-31,2017-12-31
31,Cartagena,2017-12-31,2017-12-31
32,Castelldefels,2017-12-31,2017-12-31
33,Castellón,2017-12-31,2017-12-31
34,Castro Urdiales,2017-12-31,2017-12-31
35,Cc Holea,2017-12-31,2017-12-31
36,Cc La Ballena,2017-12-31,2017-12-31
37,Cc Larios,2017-12-31,2017-12-31
38,Cc Las Arenas,2017-12-31,2017-12-31
39,Cc Plenilunio,2017-12-31,2017-12-31
40,Cc Tresaguas,2017-12-31,2017-12-31
41,Ciudad Real,2017-12-31,2017-12-31
42,Collado Villalba,2017-12-31,2017-12-31
43,Colmenar Viejo,2017-12-31,2017-12-31
44,Cordoba,2017-12-31,2017-12-31
45,Cornella De Ll.,2017-12-31,2017-12-31
46,Coslada,2017-12-31,2017-12-31
47,Cuenca,2017-12-31,2017-12-31
48,Delicias,2017-12-31,2017-12-31
