id,name,cc_id,created_at,updated_at
1,A CORUÑA,34150001,2018-08-14 16:52:50,2018-08-14 16:52:50
2,ALBACETE,34020001,2018-08-15 16:52:50,2018-08-15 16:52:50
3,ALBUFERA,34280004,2018-08-16 16:52:50,2018-08-16 16:52:50
4,ALCALA 385,34280009,2018-08-17 16:52:50,2018-08-17 16:52:50
5,ALCALA 386,34280007,2018-08-18 16:52:50,2018-08-18 16:52:50
6,ALCALA DE HENARES,34280001,2018-08-19 16:52:50,2018-08-19 16:52:50
7,ALCANTARILLA,34300002,2018-08-20 16:52:50,2018-08-20 16:52:50
8,ALCOBENDAS,34280006,2018-08-21 16:52:50,2018-08-21 16:52:50
9,ALCORCON,34280013,2018-08-22 16:52:50,2018-08-22 16:52:50
10,ALCOY,34030008,2018-08-23 16:52:50,2018-08-23 16:52:50
11,ALGECIRAS,34110003,2018-08-24 16:52:50,2018-08-24 16:52:50
12,ALICANTE,34030000,2018-08-25 16:52:50,2018-08-25 16:52:50
13,ALMERIA,34040000,2018-08-26 16:52:50,2018-08-26 16:52:50
14,ANDUJAR,34230004,2018-08-27 16:52:50,2018-08-27 16:52:50
15,ANTEQUERA,34290001,2018-08-28 16:52:50,2018-08-28 16:52:50
16,ARANJUEZ,34280032,2018-08-29 16:52:50,2018-08-29 16:52:50
17,BADAJOZ,34060000,2018-08-30 16:52:50,2018-08-30 16:52:50
18,BADALONA,34080001,2018-08-31 16:52:50,2018-08-31 16:52:50
19,BARAJAS,34280028,2018-09-01 16:52:50,2018-09-01 16:52:50
20,BARCELONA- SANTS,34080003,2018-09-02 16:52:50,2018-09-02 16:52:50
21,BARCELONA-GRAN DE GRACIA,34080000,2018-09-03 16:52:50,2018-09-03 16:52:50
22,BARCELONA-POBLENOU,34080009,2018-09-04 16:52:50,2018-09-04 16:52:50
23,BARCELONA-SAGRADA FAMILIA,34080005,2018-09-05 16:52:50,2018-09-05 16:52:50
24,BASAURI,34480005,2018-09-06 16:52:50,2018-09-06 16:52:50
25,BCN SANT ANTONI,34080016,2018-09-07 16:52:50,2018-09-07 16:52:50
26,BCN-BALMES,34080010,2018-09-08 16:52:50,2018-09-08 16:52:50
27,BENAVENTE,34490001,2018-09-09 16:52:50,2018-09-09 16:52:50
28,BERMEO,34480009,2018-09-10 16:52:50,2018-09-10 16:52:50
29,BILBAO,34480003,2018-09-11 16:52:50,2018-09-11 16:52:50
30,BOADILLA,34280019,2018-09-12 16:52:50,2018-09-12 16:52:50
31,BRAVO MURILLO,34280005,2018-09-13 16:52:50,2018-09-13 16:52:50
32,BURGOS,34090000,2018-09-14 16:52:50,2018-09-14 16:52:50
33,C.C. LA BALLENA-LAS PALMAS,34350004,2018-09-15 16:52:50,2018-09-15 16:52:50
34,CACERES,34100002,2018-09-16 16:52:50,2018-09-16 16:52:50
35,CADIZ,34110001,2018-09-17 16:52:50,2018-09-17 16:52:50
36,CAMBRILS,34430002,2018-09-18 16:52:50,2018-09-18 16:52:50
37,CARABANCHEL,34280035,2018-09-19 16:52:50,2018-09-19 16:52:50
38,CARTAGENA,34300000,2018-09-20 16:52:50,2018-09-20 16:52:50
39,CASTELLDEFELS,34080004,2018-09-21 16:52:50,2018-09-21 16:52:50
40,CASTELLON,34120000,2018-09-22 16:52:50,2018-09-22 16:52:50
41,CC PLENILUNIO,34280030,2018-09-23 16:52:50,2018-09-23 16:52:50
42,CC. LAS ARENAS,34350005,2018-09-24 16:52:50,2018-09-24 16:52:50
43,CIUDAD REAL,34130002,2018-09-25 16:52:50,2018-09-25 16:52:50
44,CLINICA CASTROURDIALES,34390002,2018-09-26 16:52:50,2018-09-26 16:52:50
45,COLLADO VILLALBA,34280016,2018-09-27 16:52:50,2018-09-27 16:52:50
46,COLMENAR VIEJO,34280024,2018-09-28 16:52:50,2018-09-28 16:52:50
47,CORDOBA,34140000,2018-09-29 16:52:50,2018-09-29 16:52:50
48,CORNELLA,34080008,2018-09-30 16:52:50,2018-09-30 16:52:50
49,COSLADA,34280022,2018-10-01 16:52:50,2018-10-01 16:52:50
50,CUENCA,34160000,2018-10-02 16:52:50,2018-10-02 16:52:50
51,DELICIAS,34280012,2018-10-03 16:52:50,2018-10-03 16:52:50
52,DENIA,34030006,2018-10-04 16:52:50,2018-10-04 16:52:50
53,DESCONOCIDO,0,2018-10-05 16:52:50,2018-10-05 16:52:50
54,DOS HERMANAS,34410000,2018-10-06 16:52:50,2018-10-06 16:52:50
55,DURANGO,34480007,2018-10-07 16:52:50,2018-10-07 16:52:50
56,EL EJIDO,34040002,2018-10-08 16:52:50,2018-10-08 16:52:50
57,EL FERROL,34150002,2018-10-09 16:52:50,2018-10-09 16:52:50
58,EL PRAT DE LLOBREGAT,34080028,2018-10-10 16:52:50,2018-10-10 16:52:50
59,ELCHE,34030002,2018-10-11 16:52:50,2018-10-11 16:52:50
60,ELDA,34030007,2018-10-12 16:52:50,2018-10-12 16:52:50
61,ESTEPONA,34290011,2018-10-13 16:52:50,2018-10-13 16:52:50
62,FABRA I PUIG,34080019,2018-10-14 16:52:50,2018-10-14 16:52:50
63,FIGUERES,34170001,2018-10-15 16:52:50,2018-10-15 16:52:50
64,FORMACION TEMPORAL,34000016,2018-10-16 16:52:50,2018-10-16 16:52:50
65,FUENGIROLA,34290009,2018-10-17 16:52:50,2018-10-17 16:52:50
66,FUENLABRADA I,34280015,2018-10-18 16:52:50,2018-10-18 16:52:50
67,FUENLABRADA II,34280010,2018-10-19 16:52:50,2018-10-19 16:52:50
68,FUERTEVENTURA,34350003,2018-10-20 16:52:50,2018-10-20 16:52:50
69,GALDAKAO,34480010,2018-10-21 16:52:50,2018-10-21 16:52:50
70,GANDIA,34460002,2018-10-22 16:52:50,2018-10-22 16:52:50
71,GAVA,34080015,2018-10-23 16:52:50,2018-10-23 16:52:50
72,GETAFE 73,34280014,2018-10-24 16:52:50,2018-10-24 16:52:50
73,GETAFE 73,34280026,2018-10-25 16:52:50,2018-10-25 16:52:50
74,GETXO,34480001,2018-10-26 16:52:50,2018-10-26 16:52:50
75,GIJON,34330000,2018-10-27 16:52:50,2018-10-27 16:52:50
76,GIRONA,34170000,2018-10-28 16:52:50,2018-10-28 16:52:50
77,GRAN VIA MADRID,34280042,2018-10-29 16:52:50,2018-10-29 16:52:50
78,GRANADA,34180000,2018-10-30 16:52:50,2018-10-30 16:52:50
79,GRANADA 2 - RECOGIDAS,34180002,2018-10-31 16:52:50,2018-10-31 16:52:50
80,GRANOLLERS,34080017,2018-11-01 16:52:50,2018-11-01 16:52:50
81,GUADALAJARA,34190000,2018-11-02 16:52:50,2018-11-02 16:52:50
82,HOSPITALET,34080002,2018-11-03 16:52:50,2018-11-03 16:52:50
83,HUELVA 1 CC HOLEA,34210000,2018-11-04 16:52:50,2018-11-04 16:52:50
84,HUELVA 2,34210001,2018-11-05 16:52:50,2018-11-05 16:52:50
85,HUESCA,34220000,2018-11-06 16:52:50,2018-11-06 16:52:50
86,IBIZA,34070005,2018-11-07 16:52:50,2018-11-07 16:52:50
87,INCA,34070004,2018-11-08 16:52:50,2018-11-08 16:52:50
88,INTERNACIONAL,57000000,2018-11-09 16:52:50,2018-11-09 16:52:50
89,INTERNACIONAL,39000000,2018-11-10 16:52:50,2018-11-10 16:52:50
90,INTERNACIONAL,52000000,2018-11-11 16:52:50,2018-11-11 16:52:50
91,IRUN,34200001,2018-11-12 16:52:50,2018-11-12 16:52:50
92,ITINERANTE PAIS VASCO,34000033,2018-11-13 16:52:50,2018-11-13 16:52:50
93,JAEN,34230000,2018-11-14 16:52:50,2018-11-14 16:52:50
94,JEREZ DE LA FRONTERA,34110000,2018-11-15 16:52:50,2018-11-15 16:52:50
95,JEREZ2 AREA SUR,34110005,2018-11-16 16:52:50,2018-11-16 16:52:50
96,LA LINEA DE LA CONCEPCION,34110006,2018-11-17 16:52:50,2018-11-17 16:52:50
97,LAS PALMAS DE GRAN CANARIAS,34350000,2018-11-18 16:52:50,2018-11-18 16:52:50
98,LEGANES,34280021,2018-11-19 16:52:50,2018-11-19 16:52:50
99,LEON,34240000,2018-11-20 16:52:50,2018-11-20 16:52:50
100,LINARES,34230003,2018-11-21 16:52:50,2018-11-21 16:52:50
101,LLEIDA,34250000,2018-11-22 16:52:50,2018-11-22 16:52:50
102,LLOBREGOS,34080023,2018-11-23 16:52:50,2018-11-23 16:52:50
103,LOGROÑO,34260000,2018-11-24 16:52:50,2018-11-24 16:52:50
104,LORCA,34300003,2018-11-25 16:52:50,2018-11-25 16:52:50
105,LUGO,34270000,2018-11-26 16:52:50,2018-11-26 16:52:50
106,MADRID,34000014,2018-11-27 16:52:50,2018-11-27 16:52:50
107,MADRID,34000013,2018-11-28 16:52:50,2018-11-28 16:52:50
108,MADRID,34000006,2018-11-29 16:52:50,2018-11-29 16:52:50
109,MADRID,34000004,2018-11-30 16:52:50,2018-11-30 16:52:50
110,MADRID,34000025,2018-12-01 16:52:50,2018-12-01 16:52:50
111,MADRID,34000027,2018-12-02 16:52:50,2018-12-02 16:52:50
112,MADRID,34000015,2018-12-03 16:52:50,2018-12-03 16:52:50
113,MADRID,34000032,2018-12-04 16:52:50,2018-12-04 16:52:50
114,MADRID,34000012,2018-12-05 16:52:50,2018-12-05 16:52:50
115,MADRID,34000001,2018-12-06 16:52:50,2018-12-06 16:52:50
116,MADRID,34000020,2018-12-07 16:52:50,2018-12-07 16:52:50
117,MADRID,34000002,2018-12-08 16:52:50,2018-12-08 16:52:50
118,MADRID,34000018,2018-12-09 16:52:50,2018-12-09 16:52:50
119,MADRID,34000005,2018-12-10 16:52:50,2018-12-10 16:52:50
120,MADRID,34000029,2018-12-11 16:52:50,2018-12-11 16:52:50
121,MADRID,34000003,2018-12-12 16:52:50,2018-12-12 16:52:50
122,MADRID,34000022,2018-12-13 16:52:50,2018-12-13 16:52:50
123,MADRID,34000011,2018-12-14 16:52:50,2018-12-14 16:52:50
124,MADRID,34000007,2018-12-15 16:52:50,2018-12-15 16:52:50
125,MADRID GOYA 58,34280041,2018-12-16 16:52:50,2018-12-16 16:52:50
126,MADRID LOPEZ DE HOYOS,34280037,2018-12-17 16:52:50,2018-12-17 16:52:50
127,MAHON,34070001,2018-12-18 16:52:50,2018-12-18 16:52:50
128,MAJADAHONDA,34280017,2018-12-19 16:52:50,2018-12-19 16:52:50
129,MALAGA,34290000,2018-12-20 16:52:50,2018-12-20 16:52:50
130,MALAGA 2,34290002,2018-12-21 16:52:50,2018-12-21 16:52:50
131,MALLORCA 2,34070002,2018-12-22 16:52:50,2018-12-22 16:52:50
132,MANACOR,34070003,2018-12-23 16:52:50,2018-12-23 16:52:50
133,MANRESA,34080011,2018-12-24 16:52:50,2018-12-24 16:52:50
134,MARBELLA,34290005,2018-12-25 16:52:50,2018-12-25 16:52:50
135,MATARO,34080006,2018-12-26 16:52:50,2018-12-26 16:52:50
136,MERIDA,34060001,2018-12-27 16:52:50,2018-12-27 16:52:50
137,MOLINA DE SEGURA,34300001,2018-12-28 16:52:50,2018-12-28 16:52:50
138,MOLLET DEL VALLES,34080014,2018-12-29 16:52:50,2018-12-29 16:52:50
139,MORATALAZ,34280033,2018-12-30 16:52:50,2018-12-30 16:52:50
