id,"name",state_id,"created_at","updated_at"
1,"Araba/Álava",16,"2017-12-31 00:00:00","2017-12-31 00:00:00"
2,"Albacete",8,"2017-12-31 00:00:00","2017-12-31 00:00:00"
3,"Alicante/Alacant",10,"2017-12-31 00:00:00","2017-12-31 00:00:00"
4,"Almería",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
5,"Ávila",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
6,"Badajoz",11,"2017-12-31 00:00:00","2017-12-31 00:00:00"
7,"Balears, Illes",4,"2017-12-31 00:00:00","2017-12-31 00:00:00"
8,"Barcelona",9,"2017-12-31 00:00:00","2017-12-31 00:00:00"
9,"Burgos",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
10,"Cáceres",11,"2017-12-31 00:00:00","2017-12-31 00:00:00"
11,"Cádiz",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
12,"Castellón/Castelló",10,"2017-12-31 00:00:00","2017-12-31 00:00:00"
13,"Ciudad Real",8,"2017-12-31 00:00:00","2017-12-31 00:00:00"
14,"Córdoba",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
15,"Coruña, A",12,"2017-12-31 00:00:00","2017-12-31 00:00:00"
16,"Cuenca",8,"2017-12-31 00:00:00","2017-12-31 00:00:00"
17,"Girona",9,"2017-12-31 00:00:00","2017-12-31 00:00:00"
18,"Granada",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
19,"Guadalajara",8,"2017-12-31 00:00:00","2017-12-31 00:00:00"
20,"Gipuzkoa",16,"2017-12-31 00:00:00","2017-12-31 00:00:00"
21,"Huelva",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
22,"Huesca",2,"2017-12-31 00:00:00","2017-12-31 00:00:00"
23,"Jaén",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
24,"León",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
25,"Lleida",9,"2017-12-31 00:00:00","2017-12-31 00:00:00"
26,"Rioja, La",17,"2017-12-31 00:00:00","2017-12-31 00:00:00"
27,"Lugo",12,"2017-12-31 00:00:00","2017-12-31 00:00:00"
28,"Madrid",13,"2017-12-31 00:00:00","2017-12-31 00:00:00"
29,"Málaga",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
30,"Murcia",14,"2017-12-31 00:00:00","2017-12-31 00:00:00"
31,"Navarra",15,"2017-12-31 00:00:00","2017-12-31 00:00:00"
32,"Ourense",12,"2017-12-31 00:00:00","2017-12-31 00:00:00"
33,"Asturias",3,"2017-12-31 00:00:00","2017-12-31 00:00:00"
34,"Palencia",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
35,"Palmas, Las",5,"2017-12-31 00:00:00","2017-12-31 00:00:00"
36,"Pontevedra",12,"2017-12-31 00:00:00","2017-12-31 00:00:00"
37,"Salamanca",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
38,"Santa Cruz de Tenerife",5,"2017-12-31 00:00:00","2017-12-31 00:00:00"
39,"Cantabria",6,"2017-12-31 00:00:00","2017-12-31 00:00:00"
40,"Segovia",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
41,"Sevilla",1,"2017-12-31 00:00:00","2017-12-31 00:00:00"
42,"Soria",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
43,"Tarragona",9,"2017-12-31 00:00:00","2017-12-31 00:00:00"
44,"Teruel",2,"2017-12-31 00:00:00","2017-12-31 00:00:00"
45,"Toledo",8,"2017-12-31 00:00:00","2017-12-31 00:00:00"
46,"Valencia/València",10,"2017-12-31 00:00:00","2017-12-31 00:00:00"
47,"Valladolid",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
48,"Bizkaia",16,"2017-12-31 00:00:00","2017-12-31 00:00:00"
49,"Zamora",7,"2017-12-31 00:00:00","2017-12-31 00:00:00"
50,"Zaragoza",2,"2017-12-31 00:00:00","2017-12-31 00:00:00"
51,"Ceuta",18,"2017-12-31 00:00:00","2017-12-31 00:00:00"
52,"Melilla",19,"2017-12-31 00:00:00","2017-12-31 00:00:00"
