id,"name","path","url","type","thumbnail","extension","permissions",is_public,user_id,group_id,fileable_id,"fileable_type","created_at","updated_at"
1,"Juana de Vega, 23.jpg","facades/A Coruna (Juana de Vega, 23)","facades/A Coruna (Juana de Vega, 23)/Juana de Vega, 23.jpg","image/jpeg","facades/A Coruna (Juana de Vega, 23)/Juana de Vega, 23_thumbnail.jpg","jpg","740",1,1,5,1,"App\\ClinicPosterDistribution","2019-07-05 15:10:43","2019-07-11 18:57:37"
2,"Vía Complutense, 32.jpg","facades/Alcala de Henares (de Atilano Casado, 3)","facades/Alcala de Henares (de Atilano Casado, 3)/Vía Complutense, 32.jpg","image/jpeg","facades/Alcala de Henares (de Atilano Casado, 3)/Vía Complutense, 32_thumbnail.jpg","jpg","740",1,1,5,2,"App\\ClinicPosterDistribution","2019-07-05 15:10:43","2019-07-11 18:57:37"
3,"de Atilano Casado, 3.jpg","facades/Alcala de Henares (de Atilano Casado, 3)","facades/Alcala de Henares (de Atilano Casado, 3)/de Atilano Casado, 3.jpg","image/jpeg","facades/Alcala de Henares (de Atilano Casado, 3)/de Atilano Casado, 3_thumbnail.jpg","jpg","740",1,1,5,3,"App\\ClinicPosterDistribution","2019-07-05 15:10:43","2019-07-11 18:57:37"
4,"Lic. Cascales.jpg","facades/Alcantarilla (Mayor, 127 A)","facades/Alcantarilla (Mayor, 127 A)/Lic. Cascales.jpg","image/jpeg","facades/Alcantarilla (Mayor, 127 A)/Lic. Cascales_thumbnail.jpg","jpg","740",1,1,5,4,"App\\ClinicPosterDistribution","2019-07-05 15:10:43","2019-07-11 18:57:37"
5,"Mayor, 127 A.jpg","facades/Alcantarilla (Mayor, 127 A)","facades/Alcantarilla (Mayor, 127 A)/Mayor, 127 A.jpg","image/jpeg","facades/Alcantarilla (Mayor, 127 A)/Mayor, 127 A_thumbnail.jpg","jpg","740",1,1,5,5,"App\\ClinicPosterDistribution","2019-07-05 15:10:43","2019-07-11 18:57:37"
6,"Sant Isidre.jpg","facades/Alcoi (Alameda, 13)","facades/Alcoi (Alameda, 13)/Sant Isidre.jpg","image/jpeg","facades/Alcoi (Alameda, 13)/Sant Isidre_thumbnail.jpg","jpg","740",1,1,5,6,"App\\ClinicPosterDistribution","2019-07-05 15:10:43","2019-07-11 18:57:38"
7,"Alameda, 13.jpg","facades/Alcoi (Alameda, 13)","facades/Alcoi (Alameda, 13)/Alameda, 13.jpg","image/jpeg","facades/Alcoi (Alameda, 13)/Alameda, 13_thumbnail.jpg","jpg","740",1,1,5,7,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
8,"Maisonnave, 27.jpg","facades/Alicante (Maisonnave, 27)","facades/Alicante (Maisonnave, 27)/Maisonnave, 27.jpg","image/jpeg","facades/Alicante (Maisonnave, 27)/Maisonnave, 27_thumbnail.jpg","jpg","740",1,1,5,8,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
9,"Méndez Núñez.jpg","facades/Almeria (de Almeria, 41)","facades/Almeria (de Almeria, 41)/Méndez Núñez.jpg","image/jpeg","facades/Almeria (de Almeria, 41)/Méndez Núñez_thumbnail.jpg","jpg","740",1,1,5,9,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
10,"de Almería, 41.jpg","facades/Almeria (de Almeria, 41)","facades/Almeria (de Almeria, 41)/de Almería, 41.jpg","image/jpeg","facades/Almeria (de Almeria, 41)/de Almería, 41_thumbnail.jpg","jpg","740",1,1,5,10,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
