id,group_id,user_id,"role","created_at","updated_at"
1,1,1,"overseeker","2019-01-22 16:18:03","2019-01-23 16:18:03"
2,5,2,"overseeker","2019-01-23 16:18:03","2019-01-24 16:18:03"
3,5,3,"user","2019-01-24 16:18:03","2019-01-25 16:18:03"
4,5,4,"user","2019-01-25 16:18:03","2019-01-26 16:18:03"
5,6,5,"user","2019-01-26 16:18:03","2019-01-27 16:18:03"
6,6,6,"user","2019-01-27 16:18:03","2019-01-28 16:18:03"
7,6,7,"user","2019-01-28 16:18:03","2019-01-29 16:18:03"
8,6,8,"user","2019-01-29 16:18:03","2019-01-30 16:18:03"
9,6,9,"user","2019-01-30 16:18:03","2019-01-31 16:18:03"
10,6,10,"user","2019-01-31 16:18:03","2019-02-01 16:18:03"
11,5,1,"user","2020-02-11 11:33:51","2020-02-11 11:33:51"
