id,name,created_at,updated_at
1,GENERAL,2018-08-14 15:21:07,2018-08-14 15:21:07
2,AUXILIAR CLINICA,2018-08-15 15:21:07,2018-08-15 15:21:07
3,RECEPCIONISTA,2018-08-16 15:21:07,2018-08-16 15:21:07
4,DM,2018-08-17 15:21:07,2018-08-17 15:21:07
5,DIRECTOR CLINICA,2018-08-18 15:21:07,2018-08-18 15:21:07
6,CIRUJANO,2018-08-19 15:21:07,2018-08-19 15:21:07
7,ORTO,2018-08-20 15:21:07,2018-08-20 15:21:07
8,SUBDIRECTOR CLINICA,2018-08-21 15:21:07,2018-08-21 15:21:07
9,HIGIENISTA,2018-08-22 15:21:07,2018-08-22 15:21:07
10,ADMINISTRATIVO COMERCIAL,2018-08-23 15:21:07,2018-08-23 15:21:07
11,ENDO,2018-08-24 15:21:07,2018-08-24 15:21:07
12,PSI,2018-08-25 15:21:07,2018-08-25 15:21:07
13,FORMACION Y APERTURAS,2018-08-26 15:21:07,2018-08-26 15:21:07
14,ABOGADO,2018-08-27 15:21:07,2018-08-27 15:21:07
15,AUDITOR CLINICA,2018-08-28 15:21:07,2018-08-28 15:21:07
16,AUXILIAR CONTABLE,2018-08-29 15:21:07,2018-08-29 15:21:07
17,COORDINADOR C.I. Y ATT PACIENTE,2018-08-30 15:21:07,2018-08-30 15:21:07
18,COORDINADOR CALIDAD,2018-08-31 15:21:07,2018-08-31 15:21:07
19,DIRECTOR CALIDAD,2018-09-01 15:21:07,2018-09-01 15:21:07
20,TELEOPERADOR CALIDAD,2018-09-02 15:21:07,2018-09-02 15:21:07
21,TELEOPERADORA L900,2018-09-03 15:21:07,2018-09-03 15:21:07
22,COORDINADOR L900,2018-09-04 15:21:07,2018-09-04 15:21:07
23,DIRECCION MEDICA,2018-09-05 15:21:07,2018-09-05 15:21:07
24,TECNICO COMPRAS,2018-09-06 15:21:07,2018-09-06 15:21:07
25,DIRECCION COMPRAS INDIRECTAS,2018-09-07 15:21:07,2018-09-07 15:21:07
26,DIRECTOR COMPRAS DIRECTAS,2018-09-08 15:21:07,2018-09-08 15:21:07
27,TECNICO GRABADOR DATOS,2018-09-09 15:21:07,2018-09-09 15:21:07
28,TECNICO CONTROL VENTAS,2018-09-10 15:21:07,2018-09-10 15:21:07
29,TECNICO CONTROL GESTION,2018-09-11 15:21:07,2018-09-11 15:21:07
