id,"iso_name","native_name","639-1","639-2/T","639-2/B","639-3","notes","created_at","updated_at"
1,"Abkhazian","аҧсуа бызшәа, аҧсшәа","ab","abk","abk","abk",,,
2,"Afar","Afaraf","aa","aar","aar","aar",,,
3,"Afrikaans","Afrikaans","af","afr","afr","afr",,,
4,"Akan","Akan","ak","aka","aka","aka + 2",,,
5,"Albanian","Shqip","sq","sqi","alb","sqi + 4",,,
6,"Amharic","አማርኛ","am","amh","amh","amh",,,
7,"Arabic","العربية","ar","ara","ara","ara + 30",,,
8,"Aragonese","aragonés","an","arg","arg","arg",,,
9,"Armenian","Հայերեն","hy","hye","arm","hye",,,
10,"Assamese","অসমীয়া","as","asm","asm","asm",,,
11,"Avaric","авар мацӀ, магӀарул мацӀ","av","ava","ava","ava",,,
12,"Avestan","avesta","ae","ave","ave","ave",,,
13,"Aymara","aymar aru","ay","aym","aym","aym + 2",,,
14,"Azerbaijani","azərbaycan dili","az","aze","aze","aze + 2",,,
15,"Bambara","bamanankan","bm","bam","bam","bam",,,
16,"Bashkir","башҡорт теле","ba","bak","bak","bak",,,
17,"Basque","euskara, euskera","eu","eus","baq","eus",,,
18,"Belarusian","беларуская мова","be","bel","bel","bel",,,
19,"Bengali","বাংলা","bn","ben","ben","ben",,,
20,"Bihari languages","भोजपुरी","bh","bih","bih",,,,
21,"Bislama","Bislama","bi","bis","bis","bis",,,
22,"Bosnian","bosanski jezik","bs","bos","bos","bos",,,
23,"Breton","brezhoneg","br","bre","bre","bre",,,
24,"Bulgarian","български език","bg","bul","bul","bul",,,
25,"Burmese","ဗမာစာ","my","mya","bur","mya",,,
26,"Catalan, Valencian","català, valencià","ca","cat","cat","cat",,,
27,"Chamorro","Chamoru","ch","cha","cha","cha",,,
28,"Chechen","нохчийн мотт","ce","che","che","che",,,
29,"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja","ny","nya","nya","nya",,,
30,"Chinese","中文 (Zhōngwén), 汉语, 漢語","zh","zho","chi","zho + 14",,,
31,"Chuvash","чӑваш чӗлхи","cv","chv","chv","chv",,,
32,"Cornish","Kernewek","kw","cor","cor","cor",,,
33,"Corsican","corsu, lingua corsa","co","cos","cos","cos",,,
34,"Cree","ᓀᐦᐃᔭᐍᐏᐣ","cr","cre","cre","cre + 6",,,
35,"Croatian","hrvatski jezik","hr","hrv","hrv","hrv",,,
36,"Czech","čeština, český jazyk","cs","ces","cze","ces",,,
37,"Danish","dansk","da","dan","dan","dan",,,
38,"Divehi, Dhivehi, Maldivian","ދިވެހި","dv","div","div","div",,,
39,"Dutch, Flemish","Nederlands, Vlaams","nl","nld","dut","nld",,,
40,"Dzongkha","རྫོང་ཁ","dz","dzo","dzo","dzo",,,
