"id","master_id","university_id","created_at","updated_at"
"1","1","1",2017-12-31,2017-12-31
"2","2","1",2017-12-31,2017-12-31
"3","3","1",2017-12-31,2017-12-31
"4","4","1",2017-12-31,2017-12-31
"5","1","2",2017-12-31,2017-12-31
"6","3","3",2017-12-31,2017-12-31
"7","4","3",2017-12-31,2017-12-31
"8","2","3",2017-12-31,2017-12-31
"9","2","4",2017-12-31,2017-12-31
"10","3","4",2017-12-31,2017-12-31
"11","5","4",2017-12-31,2017-12-31
"12","4","5",2017-12-31,2017-12-31
"13","2","5",2017-12-31,2017-12-31
"14","3","5",2017-12-31,2017-12-31
"15","6","6",2017-12-31,2017-12-31
"16","2","6",2017-12-31,2017-12-31
"17","3","6",2017-12-31,2017-12-31
"18","7","6",2017-12-31,2017-12-31
"19","8","6",2017-12-31,2017-12-31
"20","6","7",2017-12-31,2017-12-31
"21","3","8",2017-12-31,2017-12-31
"22","3","9",2017-12-31,2017-12-31
"23","4","9",2017-12-31,2017-12-31
"24","9","9",2017-12-31,2017-12-31
"25","6","10",2017-12-31,2017-12-31
"26","6","11",2017-12-31,2017-12-31
"27","3","11",2017-12-31,2017-12-31
"28","10","12",2017-12-31,2017-12-31
"29","2","12",2017-12-31,2017-12-31
"30","11","13",2017-12-31,2017-12-31
"31","2","14",2017-12-31,2017-12-31
"32","3","14",2017-12-31,2017-12-31
"33","4","14",2017-12-31,2017-12-31
"34","12","14",2017-12-31,2017-12-31
"35","3","15",2017-12-31,2017-12-31
"36","5","15",2017-12-31,2017-12-31
"37","13","16",2017-12-31,2017-12-31
"38","14","16",2017-12-31,2017-12-31
"39","6","17",2017-12-31,2017-12-31
"40","2","17",2017-12-31,2017-12-31
"41","3","17",2017-12-31,2017-12-31
"42","15","17",2017-12-31,2017-12-31
"43","6","18",2017-12-31,2017-12-31
"44","2","18",2017-12-31,2017-12-31
"45","3","18",2017-12-31,2017-12-31
"46","4","19",2017-12-31,2017-12-31
"47","1","19",2017-12-31,2017-12-31
"48","2","19",2017-12-31,2017-12-31
"49","3","20",2017-12-31,2017-12-31
"50","4","20",2017-12-31,2017-12-31
"51","2","20",2017-12-31,2017-12-31
"52","7","20",2017-12-31,2017-12-31
"53","2","21",2017-12-31,2017-12-31
"54","3","21",2017-12-31,2017-12-31
"55","4","21",2017-12-31,2017-12-31
"56","16","21",2017-12-31,2017-12-31
