"id","name","created_at","updated_at"
"1","Master Implantologia y Protesis",2017-12-31,2017-12-31
"2","Master Endodoncia",2017-12-31,2017-12-31
"3","Master Ortodoncia",2017-12-31,2017-12-31
"4","Master Cirugia Oral e Implantologia",2017-12-31,2017-12-31
"5","Master Implantologia",2017-12-31,2017-12-31
"6","Master Cirugia Bucal / Implantologia",2017-12-31,2017-12-31
"7","Master Protesis",2017-12-31,2017-12-31
"8","Especialista en implantoprotesis",2017-12-31,2017-12-31
"9","Master Rehabilitación Protésica y Oclusal",2017-12-31,2017-12-31
"10","Master Periodoncia e Implantología",2017-12-31,2017-12-31
"11","Master Implantologia Oral y Microcirugia",2017-12-31,2017-12-31
"12","Master Prótesis, Implantoprótesis y Estética",2017-12-31,2017-12-31
"13","Master Rehabilitacion Oral y Estetica",2017-12-31,2017-12-31
"14","Master Implantologia e Implantoprotesis",2017-12-31,2017-12-31
"15","Master Implantologia+Implantoprotesis",2017-12-31,2017-12-31
"16","Residencia Clinica en Protésis Bucal",2017-12-31,2017-12-31
