id,shopping_bag_id,user_id,clinic_id,store_id,product_provider_id,profile_id,"details",orderable_id,"orderable_type",quantity,priority,state,"deleted_at","created_at","updated_at"
1,1,1,13,,1,,,1,"App\Product",1,3,1,,"2018-08-29 13:40:09","2020-03-10 13:25:43"
2,1,1,13,,25,,,7,"App\Product",1,3,1,,"2018-08-29 13:40:09","2020-03-10 13:25:43"
3,1,1,13,,26,,,8,"App\Product",1,3,1,,"2018-08-29 13:40:09","2020-03-10 13:25:43"
4,2,1,13,,2,,,2,"App\Product",1,3,1,,"2018-08-29 14:04:29","2020-03-10 13:25:43"
5,2,1,13,,26,,,8,"App\Product",1,3,1,,"2018-08-29 14:04:29","2020-03-10 13:25:43"
6,3,1,13,,2,,,2,"App\Product",1,3,1,,"2018-08-29 14:05:09","2020-03-10 13:25:43"
7,3,1,13,,26,,,8,"App\Product",1,3,1,,"2018-08-29 14:05:09","2020-03-10 13:25:43"
8,4,1,13,,2,,,2,"App\Product",1,3,1,,"2018-08-29 14:05:49","2020-03-10 13:25:43"
9,4,1,13,,26,,,8,"App\Product",1,3,1,,"2018-08-29 14:05:49","2020-03-10 13:25:43"
10,5,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:09:44","2020-03-10 13:25:43"
11,5,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:09:44","2020-03-10 13:25:43"
12,6,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:11:08","2020-03-10 13:25:43"
13,6,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:11:08","2020-03-10 13:25:43"
14,7,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:11:40","2020-03-10 13:25:43"
15,7,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:11:40","2020-03-10 13:25:43"
16,8,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:12:17","2020-03-10 13:25:43"
17,8,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:12:18","2020-03-10 13:25:43"
18,9,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:13:22","2020-03-10 13:25:43"
19,9,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:13:22","2020-03-10 13:25:43"
20,10,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:14:16","2020-03-10 13:25:43"
21,10,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:14:16","2020-03-10 13:25:43"
22,11,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:14:35","2020-03-10 13:25:43"
23,11,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:14:35","2020-03-10 13:25:43"
24,12,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:15:10","2020-03-10 13:25:43"
25,12,1,13,,32,254,,14,"App\Product",1,3,1,,"2018-08-29 14:15:10","2020-03-10 13:25:43"
26,13,1,13,,32,258,,14,"App\Product",1,3,1,,"2018-08-29 14:15:54","2020-03-10 13:25:43"
27,13,1,13,,32,263,,14,"App\Product",1,3,1,,"2018-08-29 14:15:54","2020-03-10 13:25:43"
28,13,1,13,,32,265,,14,"App\Product",1,3,1,,"2018-08-29 14:15:54","2020-03-10 13:25:43"
29,14,1,13,,2,,,2,"App\Product",1,3,1,,"2018-08-29 14:16:56","2020-03-10 13:25:43"
30,14,1,13,,3,,,3,"App\Product",1,3,1,,"2018-08-29 14:16:56","2020-03-10 13:25:43"
31,15,1,13,,2,,,2,"App\Product",1,3,1,,"2018-08-29 14:17:46","2020-03-10 13:25:43"
