"id","nombre","state_id","created_at","updated_at"
"1","Araba/Álava","16",2017-12-31,2017-12-31
"2","Albacete","8",2017-12-31,2017-12-31
"3","Alicante/Alacant","10",2017-12-31,2017-12-31
"4","Almería","1",2017-12-31,2017-12-31
"5","Ávila","7",2017-12-31,2017-12-31
"6","Badajoz","11",2017-12-31,2017-12-31
"7","Balears, Illes","4",2017-12-31,2017-12-31
"8","Barcelona","9",2017-12-31,2017-12-31
"9","Burgos","7",2017-12-31,2017-12-31
"10","Cáceres","11",2017-12-31,2017-12-31
"11","Cádiz","1",2017-12-31,2017-12-31
"12","Castellón/Castelló","10",2017-12-31,2017-12-31
"13","Ciudad Real","8",2017-12-31,2017-12-31
"14","Córdoba","1",2017-12-31,2017-12-31
"15","Coruña, A","12",2017-12-31,2017-12-31
"16","Cuenca","8",2017-12-31,2017-12-31
"17","Girona","9",2017-12-31,2017-12-31
"18","Granada","1",2017-12-31,2017-12-31
"19","Guadalajara","8",2017-12-31,2017-12-31
"20","Gipuzkoa","16",2017-12-31,2017-12-31
"21","Huelva","1",2017-12-31,2017-12-31
"22","Huesca","2",2017-12-31,2017-12-31
"23","Jaén","1",2017-12-31,2017-12-31
"24","León","7",2017-12-31,2017-12-31
"25","Lleida","9",2017-12-31,2017-12-31
"26","Rioja, La","17",2017-12-31,2017-12-31
"27","Lugo","12",2017-12-31,2017-12-31
"28","Madrid","13",2017-12-31,2017-12-31
"29","Málaga","1",2017-12-31,2017-12-31
"30","Murcia","14",2017-12-31,2017-12-31
"31","Navarra","15",2017-12-31,2017-12-31
"32","Ourense","12",2017-12-31,2017-12-31
"33","Asturias","3",2017-12-31,2017-12-31
"34","Palencia","7",2017-12-31,2017-12-31
"35","Palmas, Las","5",2017-12-31,2017-12-31
"36","Pontevedra","12",2017-12-31,2017-12-31
"37","Salamanca","7",2017-12-31,2017-12-31
"38","Santa Cruz de Tenerife","5",2017-12-31,2017-12-31
"39","Cantabria","6",2017-12-31,2017-12-31
"40","Segovia","7",2017-12-31,2017-12-31
"41","Sevilla","1",2017-12-31,2017-12-31
"42","Soria","7",2017-12-31,2017-12-31
"43","Tarragona","9",2017-12-31,2017-12-31
"44","Teruel","2",2017-12-31,2017-12-31
"45","Toledo","8",2017-12-31,2017-12-31
"46","Valencia/València","10",2017-12-31,2017-12-31
"47","Valladolid","7",2017-12-31,2017-12-31
"48","Bizkaia","16",2017-12-31,2017-12-31
"49","Zamora","7",2017-12-31,2017-12-31
"50","Zaragoza","2",2017-12-31,2017-12-31
"51","Ceuta","18",2017-12-31,2017-12-31
"52","Melilla","19",2017-12-31,2017-12-31
