id,"code","description",clinic_id,county_id,state_id,country_id,campaign_id,sanitizable_id,"sanitizable_type","created_at","updated_at"
197,"4000641/RMu 30001384",,5,,,,11,3,"App\PosterModel","2019-06-18 16:07:56","2019-06-18 16:07:56"
198,"4000634/Rmu 30001223",,37,,,,11,3,"App\PosterModel","2019-06-18 16:09:00","2019-06-18 16:09:00"
199,"4000647/Rmu 18/00-2491",,95,,,,11,3,"App\PosterModel","2019-06-18 16:09:17","2019-06-18 16:09:17"
200,"4000645/RMu 30001248",,129,,,,11,3,"App\PosterModel","2019-06-18 16:09:29","2019-06-18 16:09:29"
201,"4000648/RMu  30001231",,134,,,,11,3,"App\PosterModel","2019-06-18 16:09:45","2019-06-18 16:09:45"
202,"4000639/RMu 30001384",,5,,,,11,1,"App\PosterModel","2019-06-18 16:10:30","2019-06-18 16:10:30"
203,"4000632/Rmu 30001223",,37,,,,11,1,"App\PosterModel","2019-06-18 16:10:43","2019-06-18 16:10:43"
204,"4000630/Rmu 18/00-2491",,95,,,,11,1,"App\PosterModel","2019-06-18 16:10:55","2019-06-18 16:10:55"
205,"4000643/RMu 30001248",,129,,,,11,1,"App\PosterModel","2019-06-18 16:11:08","2019-06-18 16:11:08"
206,"4000637/Rmu 30001231",,134,,,,11,1,"App\PosterModel","2019-06-18 16:11:21","2019-06-18 16:11:21"
207,"4000640/Rmu 30001384",,5,,,,11,2,"App\PosterModel","2019-06-18 16:11:44","2019-06-18 16:11:44"
208,"4000633/Rmu 30001223",,37,,,,11,2,"App\PosterModel","2019-06-18 16:11:57","2019-06-18 16:11:57"
209,"4000629/Rmu 18/00-2491",,95,,,,11,2,"App\PosterModel","2019-06-18 16:12:10","2019-06-18 16:12:10"
210,"4000644/Rmu 30001248",,129,,,,11,2,"App\PosterModel","2019-06-18 16:12:26","2019-06-18 16:12:26"
211,"4000636/Rmu 30001231",,134,,,,11,2,"App\PosterModel","2019-06-18 16:12:40","2019-06-18 16:12:40"
212,"CPS-2833C/37-18-NA",,141,,,,11,4,"App\PosterModel","2019-06-18 16:13:02","2019-06-18 16:13:02"
213,"CPS-2833C/37-18-NA",,142,,,,11,4,"App\PosterModel","2019-06-18 16:13:15","2019-06-18 16:13:15"
214,"CPS-2831C/37-18-NA",,186,,,,11,4,"App\PosterModel","2019-06-18 16:13:27","2019-06-18 16:13:27"
