"id","name","created_at","updated_at"
"1","Universidad Alfonso X el Sabio",2017-12-31,2017-12-31
"2","Universidad Católica de Murcia",2017-12-31,2017-12-31
"3","Universidad Católica de Valencia San Vicente Mártir",2017-12-31,2017-12-31
"4","Universidad CEU Cardenal Herrera",2017-12-31,2017-12-31
"5","Universidad CEU San Pablo",2017-12-31,2017-12-31
"6","Universidad Complutense de Madrid",2017-12-31,2017-12-31
"7","Universidad de Granada",2017-12-31,2017-12-31
"8","Universidad de Murcia",2017-12-31,2017-12-31
"9","Universidad de Oviedo",2017-12-31,2017-12-31
"10","Universidad de Salamanca",2017-12-31,2017-12-31
"11","Universidad de Sevilla",2017-12-31,2017-12-31
"12","Universidad de Zaragoza",2017-12-31,2017-12-31
"13","Universidad del País Vasco",2017-12-31,2017-12-31
"14","Universidad Europea de Madrid",2017-12-31,2017-12-31
"15","Universidad Europea de Valencia",2017-12-31,2017-12-31
"16","Universidad Europea Miguel de Cervantes",2017-12-31,2017-12-31
"17","Universidad Rey Juan Carlos",2017-12-31,2017-12-31
"18","Universidade de Santiago de Compostela",2017-12-31,2017-12-31
"19","Universitat de Barcelona",2017-12-31,2017-12-31
"20","Universitat de València",2017-12-31,2017-12-31
"21","Universitat Internacional de Catalunya",2017-12-31,2017-12-31
